UNITID_P,INSTNM,Latitude,Longitude
153658003,University of Iowa,41.58588195,-93.6330320492719
155317001,University of Kansas,38.9561838,-95.2436836
155317002,University of Kansas,38.89991505,-94.72657922045454
155317003,University of Kansas,39.05627,-94.6075173
155317004,University of Kansas,37.7016,-97.3156
155317005,University of Kansas,38.8322921,-97.6103762526024
155317008,University of Kansas,38.871066,-99.29831495959596
155317009,University of Kansas,37.337588905779505,-95.2676283982516
157085002,University of Kentucky,38.08187547625983,-84.72885837512379
157085003,University of Kentucky,38.104259299999995,-84.4868219516367
157085005,University of Kentucky,37.97365865,-84.5348737508555
157085006,University of Kentucky,37.09906310821045,-87.86020743276646
157085007,University of Kentucky,37.0578374,-88.6535369
157085008,University of Kentucky,37.277743,-83.222315
157085011,University of Kentucky,39.0296155,-84.4662434
162928002,Johns Hopkins University,39.2962525,-76.5944398
162928007,Johns Hopkins University,38.893063,-77.0192052867471
162928009,Johns Hopkins University,46.3144754,11.0480288
162928012,Johns Hopkins University,46.3144754,11.0480288
162928014,Johns Hopkins University,46.3144754,11.0480288
162928015,Johns Hopkins University,39.2878036,-76.550531
163268001,University of Maryland-Baltimore County,39.2541842,-76.7130756
163268003,University of Maryland-Baltimore County,39.09315255,-77.19979331745799
163268004,University of Maryland-Baltimore County,39.2863246,-76.6058338
164988001,Boston University,42.3496881,-71.1001848
164988002,Boston University,42.333824,-71.07354
164988005,Boston University,46.3144754,11.0480288
164988012,Boston University,41.6918646,-70.33658324864206
164988014,Boston University,41.7000515915493,-71.15671505633803
164988015,Boston University,42.522784,-71.27355269891372
164988016,Boston University,42.23668645,-71.80702483708313
166027001,Harvard University,42.37444945,-71.11829035
166027002,Harvard University,42.37444945,-71.11829035
166027003,Harvard University,42.5064082002102,-71.30056471811994
166027004,Harvard University,42.30736115,-71.12080302148254
166027006,Harvard University,42.5317621,-72.18982793821456
166027008,Harvard University,46.3144754,11.0480288
166027009,Harvard University,46.3144754,11.0480288
167358001,Northeastern University,42.34016,-71.088898
167358003,Northeastern University,47.6226672,-122.33752923980992
167358005,Northeastern University,46.3144754,11.0480288
167358006,Northeastern University,46.3144754,11.0480288
167358007,Northeastern University,46.3144754,11.0480288
167358009,Northeastern University,43.6614853,-70.2467252
167358010,Northeastern University,37.7833129,-122.1818531
168148002,Tufts University,42.3499675,-71.0621085
168148003,Tufts University,42.244495650000005,-71.67885393685751
168148004,Tufts University,46.3144754,11.0480288
171100002,Michigan State University,42.970543,-85.668301
171100003,Michigan State University,42.6041593,-83.16516673940218
171100005,Michigan State University,42.6222895,-82.9579068
178396005,University of Missouri-Columbia,38.91230103552482,-92.26535857748205
178396008,University of Missouri-Columbia,38.912558505050505,-92.285337979798
179159002,Saint Louis University,46.3144754,11.0480288
179159003,Saint Louis University,38.6282394,-90.1976418
181002001,Creighton University,41.2647801,-95.9516194
181002003,Creighton University,33.484028,-112.073876
181002004,Creighton University,40.9257449,-98.3710453510178
186371001,Rutgers University-Camden,39.947263612244896,-75.12325240816327
186371002,Rutgers University-Camden,39.97218985,-74.89439623553321
186380006,Rutgers University-New Brunswick,40.85513697744628,-74.57655069415793
186380008,Rutgers University-New Brunswick,40.3258392,-74.13149346368671
186380014,Rutgers University-New Brunswick,39.9561741,-74.6277099
186380015,Rutgers University-New Brunswick,39.5937405,-74.3458391
186380016,Rutgers University-New Brunswick,40.502090557330625,-74.56764069967036
186399001,Rutgers University-Newark,40.7405287,-74.17317012455071
186399002,Rutgers University-Newark,40.743676,-74.190796
186399004,Rutgers University-Newark,40.6180832,-74.3569604606696
186399005,Rutgers University-Newark,39.78485745,-75.03908221644183
186399006,Rutgers University-Newark,39.828070284090906,-75.00940770454545
186584005,Seton Hall University,40.8336054,-74.15500957328373
188429002,Adelphi University,40.71956832653061,-74.00695959183673
188429005,Adelphi University,40.81016675,-73.23722085
190044002,Clarkson University,42.81435175,-73.9335521875
190044004,Clarkson University,44.3181165,-74.15964668024677
190415002,Cornell University,40.7553267,-73.956336
190415003,Cornell University,42.8775512,-77.00721831124129
191241004,Fordham University,46.3144754,11.0480288
191241005,Fordham University,46.3144754,11.0480288
191241006,Fordham University,46.3144754,11.0480288
191241007,Fordham University,41.13091481622323,-73.72887474066125
193654001,The New School,40.735252900000006,-73.99448619654714
193654003,The New School,46.3144754,11.0480288
193900001,New York University,40.72942865,-73.99721780456252
193900002,New York University,42.71203328082527,-73.70626103879748
193900003,New York University,46.3144754,11.0480288
193900004,New York University,46.3144754,11.0480288
193900005,New York University,46.3144754,11.0480288
193900006,New York University,46.3144754,11.0480288
193900007,New York University,46.3144754,11.0480288
193900008,New York University,46.3144754,11.0480288
193900009,New York University,46.3144754,11.0480288
193900012,New York University,46.3144754,11.0480288
193900013,New York University,46.3144754,11.0480288
193900014,New York University,46.3144754,11.0480288
193900016,New York University,46.3144754,11.0480288
193900017,New York University,46.3144754,11.0480288
193900019,New York University,40.69278465,-73.98756142969137
193900023,New York University,40.7407541,-73.6410651
193900024,New York University,34.0729399,-118.3616787
193900025,New York University,40.64667325,-74.02090653362373
193900026,New York University,46.3144754,11.0480288
193900027,New York University,42.710967499999995,-73.70727096292134
193900028,New York University,40.75428005,-73.98185642308394
193900029,New York University,40.7762513,-73.9637866
195003003,Rochester Institute of Technology,46.3144754,11.0480288
195003004,Rochester Institute of Technology,46.3144754,11.0480288
195003005,Rochester Institute of Technology,46.3144754,11.0480288
196079001,Binghamton University,42.08779975,-75.97066065614858
196079002,Binghamton University,42.08779975,-75.97066065614858
196079003,Binghamton University,42.08779975,-75.97066065614858
196097001,Stony Brook University,40.9090809,-73.12055180275716
196103001,SUNY College of Environmental Science and Forestry,43.0347222,-76.1355556
196103002,SUNY College of Environmental Science and Forestry,44.143037738823494,-74.90930677278483
196413001,Syracuse University,43.04017615,-76.13713222785876
196413009,Syracuse University,46.3144754,11.0480288
196413010,Syracuse University,46.3144754,11.0480288
196413011,Syracuse University,46.3144754,11.0480288
196413013,Syracuse University,46.3144754,11.0480288
196413015,Syracuse University,46.3144754,11.0480288
196413020,Syracuse University,40.746173,-73.9843135
197708002,Yeshiva University,40.7466743,-73.9792975
197708003,Yeshiva University,41.52092313690732,-74.04937634531838
197708005,Yeshiva University,46.3144754,11.0480288
197708006,Yeshiva University,40.8510538,-73.8502022
199847001,Wake Forest University,36.1299942,-80.2821731
199847002,Wake Forest University,36.10000965306122,-80.24024365306123
100858001,Auburn University,32.60471105,-85.48279062089341
100858002,Auburn University,46.3144754,11.0480288
100858005,Auburn University,33.51647889795918,-86.81774108163265
100858006,Auburn University,32.6118107,-85.43694166226194
100858007,Auburn University,32.6074533,-85.4817293
100858008,Auburn University,32.68249,-85.508237
100858011,Auburn University,32.37701195446968,-86.29956028153293
100858012,Auburn University,33.51559418367347,-86.80628208163265
100858014,Auburn University,30.689823,-88.045395
102049002,Samford University,46.3144754,11.0480288
104179005,University of Arizona,31.562609645161288,-110.24747787096774
110635003,University of California-Berkeley,38.90651435,-77.03737669188929
110644002,University of California-Davis,38.5520732,-121.4508645
110653001,University of California-Irvine,33.64294685,-117.84016055716224
110671001,University of California-Riverside,33.9753122,-117.3362121
110671002,University of California-Riverside,33.772875,-116.354769
110714001,University of California-Santa Cruz,36.977383642396106,-122.05493567193771
111948002,Chapman University,33.652452,-117.720975
117140014,University of La Verne,34.065776502241505,-117.6139917462444
117140021,University of La Verne,34.40816685641244,-118.56791692248912
117946002,Loyola Marymount University,34.04911426530612,-118.27038763265308
120883001,University of the Pacific,37.98042375,-121.31284719832666
121150001,Pepperdine University,34.0385744,-118.7070564
121150006,Pepperdine University,46.3144754,11.0480288
121150009,Pepperdine University,46.3144754,11.0480288
121150010,Pepperdine University,46.3144754,11.0480288
121150011,Pepperdine University,46.3144754,11.0480288
121150012,Pepperdine University,33.977792,-118.392819
121150013,Pepperdine University,46.3144754,11.0480288
121150015,Pepperdine University,38.90088302337421,-77.04514756720086
121150016,Pepperdine University,34.1382598,-118.7116154
122409002,San Diego State University,32.6721349,-115.49215177770594
122409003,San Diego State University,46.3144754,11.0480288
122436001,University of San Diego,32.7723935,-117.1901877
122436002,University of San Diego,46.3144754,11.0480288
122612008,University of San Francisco,37.322366,-122.0464916
122612009,University of San Francisco,37.7703081,-122.4177209
122931001,Santa Clara University,37.3505152,-121.93671710067976
122931002,Santa Clara University,37.87700183300246,-122.25858769205117
123961002,University of Southern California,34.02186895,-118.285857923125
123961005,University of Southern California,38.5781318,-121.48196239421536
123961006,University of Southern California,33.980405510204086,-118.44042783673468
123961007,University of Southern California,34.083937,-118.151796
123961008,University of Southern California,32.89736235,-117.1801090454048
123961009,University of Southern California,33.94564297291777,-118.39000100014628
126775001,Colorado School of Mines,39.7494986,-105.2220648
127060001,University of Denver,39.6802956,-104.9577792
127060002,University of Denver,37.272198,-107.8841786
127060003,University of Denver,39.54263977770693,-107.32477033223812
129020002,University of Connecticut,41.73344545,-72.79234525803653
130226002,Quinnipiac University,41.4147625,-72.8338962
130794001,Yale University,41.4506156,-72.814486
130794002,Yale University,41.255831099999995,-72.99284586491589
130943001,University of Delaware,39.6757506,-75.75002214672656
130943002,University of Delaware,38.7844669,-75.16173779719655
130943003,University of Delaware,39.7607091018745,-75.57608382341067
130943005,University of Delaware,38.63456615,-75.45946942154438
130943006,University of Delaware,39.147105550623344,-75.50350421276339
131159004,American University,46.3144754,11.0480288
131159005,American University,46.3144754,11.0480288
131159006,American University,46.3144754,11.0480288
131469001,George Washington University,38.9352086,-77.0564501
131469002,George Washington University,38.9352086,-77.0564501
131469011,George Washington University,38.9352086,-77.0564501
131496001,Georgetown University,38.9078474,-77.0716579
131496003,Georgetown University,46.3144754,11.0480288
131496005,Georgetown University,46.3144754,11.0480288
131496006,Georgetown University,46.3144754,11.0480288
131520006,Howard University,38.943098,-77.060628
132903001,University of Central Florida,28.59899755,-81.19712501183949
132903006,University of Central Florida,28.55207975,-81.70898028210524
132903008,University of Central Florida,29.1837654,-81.0783504
132903009,University of Central Florida,28.42903955,-81.44216177279361
132903011,University of Central Florida,28.36746815,-81.28080685085058
132903018,University of Central Florida,28.4957849,-81.2551644
133951006,Florida International University,46.3144754,11.0480288
134097002,Florida State University,30.1892365,-85.7227234
134097003,Florida State University,46.3144754,11.0480288
134130001,University of Florida,29.6328837,-82.34901302237435
134130002,University of Florida,30.350564826086956,-81.66375626086956
134130003,University of Florida,28.36653093939394,-81.28888657575757
134130006,University of Florida,29.89240345,-81.313166
134130007,University of Florida,27.334208032258065,-82.53852296774194
134130010,University of Florida,46.3144754,11.0480288
134130011,University of Florida,30.4753205,-86.57330926943212
134130012,University of Florida,28.102997,-81.712959
134130015,University of Florida,26.08443365,-80.2385074600466
134130018,University of Florida,27.425836,-80.40755
134130019,University of Florida,28.638872283311212,-81.55106076379579
134130020,University of Florida,29.13559918978031,-83.03243927075368
134130022,University of Florida,30.545671,-84.59560559190476
134130028,University of Florida,25.5103243,-80.5010833
134130030,University of Florida,30.7772307,-87.1423652
134130033,University of Florida,25.84474775,-80.2672673055238
135726003,University of Miami,25.7322383,-80.1629688
137351006,University of South Florida,27.94361410204082,-82.45076059183674
137351008,University of South Florida,27.2173149,-82.4902098
139658001,Emory University,33.798166,-84.3221828093443
139658004,Emory University,33.7692202,-84.3522634
139658006,Emory University,34.06780249794987,-84.17470348692369
139658009,Emory University,33.791343499999996,-84.28263311282058
139658010,Emory University,33.7057912,-84.14831144086523
139658011,Emory University,33.777421450000006,-84.29291852461523
140447001,Mercer University,32.8259633,-83.6546847
140447003,Mercer University,32.02820139259205,-81.09017127539371
144050001,University of Chicago,41.78546365,-87.59390098827075
144050002,University of Chicago,41.89032232226792,-87.62148444006242
144050003,University of Chicago,46.3144754,11.0480288
144050005,University of Chicago,46.3144754,11.0480288
144050006,University of Chicago,46.3144754,11.0480288
144050008,University of Chicago,46.3144754,11.0480288
144050009,University of Chicago,41.5253392,-70.6725525
144050010,University of Chicago,46.3144754,11.0480288
144740001,DePaul University,41.924592,-87.653469
145725001,Illinois Institute of Technology,41.83108912302752,-87.62687406311932
145725002,Illinois Institute of Technology,41.878962900000005,-87.64212401965636
146719001,Loyola University Chicago,41.999149200000005,-87.65737041681818
146719006,Loyola University Chicago,46.3144754,11.0480288
146719007,Loyola University Chicago,42.2491737,-87.95094988100996
146719010,Loyola University Chicago,46.3144754,11.0480288
147767004,Northwestern University,38.9029417,-77.03052068292007
147767005,Northwestern University,46.3144754,11.0480288
147767006,Northwestern University,37.7896307,-122.4018875611875
151351002,Indiana University-Bloomington,39.25040815,-85.90165178932959
151351003,Indiana University-Bloomington,34.082559950000004,-118.31682316949014
152080002,University of Notre Dame,46.3144754,11.0480288
152080003,University of Notre Dame,46.3144754,11.0480288
152080004,University of Notre Dame,46.3144754,11.0480288
152080005,University of Notre Dame,46.3144754,11.0480288
171100006,Michigan State University,42.35705675,-83.05648273170934
178396002,University of Missouri-Columbia,38.957384649999995,-92.2884294345608
178396003,University of Missouri-Columbia,38.9115454,-92.200477
191241001,Fordham University,40.8595611,-73.8840495
191241003,Fordham University,41.02938495,-73.7287557874808
199847009,Wake Forest University,36.2050757,-81.6635371
199847010,Wake Forest University,36.0904426,-80.24516235825587
204024001,Miami University-Oxford,39.5102644,-84.7289741
204024002,Miami University-Oxford,46.3144754,11.0480288
204024003,Miami University-Oxford,39.3619111,-84.3636767
204024011,Miami University-Oxford,39.129379750000005,-84.50177109090909
207971002,University of Tulsa,36.17243718174464,-95.95655767372328
209542002,Oregon State University,44.622083450000005,-124.0444597494468
209551003,University of Oregon,45.5237312,-122.6706134
211440001,Carnegie Mellon University,40.444230899999994,-79.94337163609757
211440002,Carnegie Mellon University,46.3144754,11.0480288
211440003,Carnegie Mellon University,46.3144754,11.0480288
211440007,Carnegie Mellon University,46.3144754,11.0480288
212054001,Drexel University,39.9537825,-75.1880913
212054003,Drexel University,39.9575823,-75.16379620015567
212054004,Drexel University,40.01946095,-75.17954686197186
212106003,Duquesne University,46.3144754,11.0480288
213543001,Lehigh University,40.60732570719929,-75.37856496733934
215062003,University of Pennsylvania,39.96942597959183,-75.18492659183673
215062007,University of Pennsylvania,39.9515478,-75.1800806
216339003,Temple University,40.005307900000005,-75.1508235158642
216339006,Temple University,39.954944,-75.152909
216339008,Temple University,39.9529802,-75.16615254999999
216339009,Temple University,46.3144754,11.0480288
216339010,Temple University,46.3144754,11.0480288
216366005,Thomas Jefferson University,40.02005735,-75.1928891076407
216366006,Thomas Jefferson University,40.137685,-74.985053
216366007,Thomas Jefferson University,39.8448586,-74.984658
216366010,Thomas Jefferson University,40.17132465730881,-75.13768703509895
217156001,Brown University,41.8267064,-71.4046916
217484001,University of Rhode Island,41.48310077401502,-71.52319161066855
217484002,University of Rhode Island,41.428201,-71.483328
217882013,Clemson University,34.8386014,-82.364888
217882014,Clemson University,34.814331100000004,-82.32704689163766
217882015,Clemson University,34.8509571,-82.3990957
217882016,Clemson University,32.785724,-79.93349
217882017,Clemson University,34.58578825,-82.81586727461033
217882018,Clemson University,32.855063125089934,-79.959703669233
217882021,Clemson University,34.17465235,-82.1686859279954
221999001,Vanderbilt University,36.1493012,-86.80258940919262
223232003,Baylor University,40.75149255,-73.94008112476665
223232009,Baylor University,29.45691553061225,-98.48929508163263
225511002,University of Houston,29.5751596,-95.6506526
225511006,University of Houston,29.421068918367347,-98.47924781632652
225511008,University of Houston,29.79212615,-95.77152232552676
225511009,University of Houston,26.25373185,-98.20621188725784
227757002,Rice University,46.3144754,11.0480288
228246002,Southern Methodist University,36.3627641,-105.6040388
228875001,Texas Christian University,32.71159,-97.360535
228875002,Texas Christian University,32.68793345,-97.39856323674007
230038005,Brigham Young University,46.3144754,11.0480288
230038006,Brigham Young University,46.3144754,11.0480288
230764002,University of Utah,46.3144754,11.0480288
232186003,George Mason University,38.7565206,-77.5214867
232186005,George Mason University,38.9091207,-78.1848466
232186006,George Mason University,46.3144754,11.0480288
232423001,James Madison University,38.4364404,-78.86896481344405
233921003,Virginia Polytechnic Institute and State University,38.896722749999995,-77.18939052514907
233921005,Virginia Polytechnic Institute and State University,37.274468,-79.94073649740177
233921007,Virginia Polytechnic Institute and State University,38.80466165,-77.05090965
233921008,Virginia Polytechnic Institute and State University,39.130497,-77.575546
233921009,Virginia Polytechnic Institute and State University,46.3144754,11.0480288
233921013,Virginia Polytechnic Institute and State University,37.257487600000005,-79.94261103138783
233921014,Virginia Polytechnic Institute and State University,38.88078415,-77.11580952826066
234030003,Virginia Commonwealth University,46.3144754,11.0480288
234030004,Virginia Commonwealth University,38.8574108,-77.22849480984827
234030006,Virginia Commonwealth University,37.364338,-77.225965
235316002,Gonzaga University,46.3144754,11.0480288
236939006,Washington State University,47.57488565,-122.63534334955762
236939009,Washington State University,48.4390805,-122.39262978343768
236939010,Washington State University,46.252377800000005,-119.73789358128698
236939011,Washington State University,47.1902783,-122.3249341
236939012,Washington State University,47.437176,-120.346321
236939013,Washington State University,48.21655434693878,-122.68625548979593
239105002,Marquette University,42.52330905863524,-87.90612483926294
240444001,University of Wisconsin-Madison,43.0753639,-89.40434238742037
240444002,University of Wisconsin-Madison,44.802085,-91.50616195786188
243744004,Stanford University,46.3144754,11.0480288
243744006,Stanford University,46.3144754,11.0480288
243744007,Stanford University,46.3144754,11.0480288
243744008,Stanford University,46.3144754,11.0480288
243744009,Stanford University,46.3144754,11.0480288
243744010,Stanford University,46.3144754,11.0480288
243744013,Stanford University,46.3144754,11.0480288
243744014,Stanford University,46.3144754,11.0480288
100858001,Auburn University,32.604636°,-85.48285°
100858002,Auburn University,41.720653°,12.670349°
100858003,Auburn University,31.307217°,-86.481635°
100858006,Auburn University,32.611121°,-85.437537°
100858007,Auburn University,32.607453°,-85.481729°
100858008,Auburn University,32.687436°,-85.506135°
100858014,Auburn University,30.690022°,-88.044629°
100858015,Auburn University,34.720218°,-86.619723°
178396002,University of Missouri-Columbia,38.957384649999995,-92.2884294345608
178396003,University of Missouri-Columbia,38.9115454,-92.200477
178396005,University of Missouri-Columbia,38.91230103552482,-92.26535857748203
178396008,University of Missouri-Columbia,38.912558505050505,-92.28533797979799
179159002,Saint Louis University,46.3144754,11.0480288
179159003,Saint Louis University,38.6282394,-90.1976418
181002001,Creighton University,41.2647801,-95.9516194
181002003,Creighton University,33.484028,-112.073876
181002004,Creighton University,40.9257449,-98.37104535101781
186371001,Rutgers University-Camden,39.947263612244896,-75.12325240816327
186371002,Rutgers University-Camden,39.97218985,-74.89439623553321
186380006,Rutgers University-New Brunswick,40.85513697744628,-74.57655069415793
186380008,Rutgers University-New Brunswick,40.3258392,-74.13149346368671
186380014,Rutgers University-New Brunswick,39.9561741,-74.6277099
186380015,Rutgers University-New Brunswick,39.5937405,-74.3458391
186380016,Rutgers University-New Brunswick,40.502090557330625,-74.56764069967036
186399001,Rutgers University-Newark,40.7405287,-74.17317012455071
186399002,Rutgers University-Newark,40.743676,-74.190796
186399004,Rutgers University-Newark,40.6180832,-74.3569604606696
186399005,Rutgers University-Newark,39.78485745,-75.03908221644183
186399006,Rutgers University-Newark,39.828070284090906,-75.00940770454545
186584005,Seton Hall University,40.833605399999996,-74.15500957328373
188429002,Adelphi University,40.71956832653061,-74.00695959183673
188429005,Adelphi University,40.81016675,-73.23722085
190044002,Clarkson University,42.81435175,-73.9335521875
190044004,Clarkson University,44.3181165,-74.15964668024677
190415002,Cornell University,40.7553267,-73.956336
190415003,Cornell University,42.8775512,-77.00721831124129
191241001,Fordham University,40.8595611,-73.8840495
191241003,Fordham University,41.02938495,-73.7287557874808
191241004,Fordham University,46.3144754,11.0480288
191241005,Fordham University,46.3144754,11.0480288
191241006,Fordham University,46.3144754,11.0480288
191241007,Fordham University,41.13091481622323,-73.72887474066125
193900001,New York University,40.72942865,-73.99721780456252
193900002,New York University,42.71203328082527,-73.70626103879748
193900003,New York University,46.3144754,11.0480288
193900004,New York University,46.3144754,11.0480288
193900005,New York University,46.3144754,11.0480288
193900006,New York University,46.3144754,11.0480288
193900007,New York University,46.3144754,11.0480288
193900008,New York University,46.3144754,11.0480288
193900009,New York University,46.3144754,11.0480288
193900012,New York University,46.3144754,11.0480288
193900013,New York University,46.3144754,11.0480288
193900014,New York University,46.3144754,11.0480288
193900016,New York University,46.3144754,11.0480288
193900017,New York University,46.3144754,11.0480288
193900019,New York University,40.69278465,-73.98756142969137
193900023,New York University,40.7407541,-73.6410651
193900024,New York University,34.0729399,-118.3616787
193900025,New York University,40.64667325,-74.02090653362373
193900026,New York University,46.3144754,11.0480288
193900028,New York University,40.75428005,-73.98185642308394
193900029,New York University,40.7762513,-73.9637866
195003003,Rochester Institute of Technology,46.3144754,11.0480288
195003004,Rochester Institute of Technology,46.3144754,11.0480288
195003005,Rochester Institute of Technology,46.3144754,11.0480288
196079001,Binghamton University,42.08779975,-75.97066065614858
196079002,Binghamton University,42.08779975,-75.97066065614858
196079003,Binghamton University,42.08779975,-75.97066065614858
196097001,Stony Brook University,40.9090809,-73.12055180275716
196103001,SUNY College of Environmental Science and Forestry,43.0347222,-76.1355556
196103002,SUNY College of Environmental Science and Forestry,44.143037738823494,-74.90930677278483
196413001,Syracuse University,43.04017615,-76.13713222785876
196413009,Syracuse University,46.3144754,11.0480288
196413010,Syracuse University,46.3144754,11.0480288
196413011,Syracuse University,46.3144754,11.0480288
196413013,Syracuse University,46.3144754,11.0480288
196413015,Syracuse University,46.3144754,11.0480288
196413020,Syracuse University,40.746173,-73.9843135
197708002,Yeshiva University,40.7466743,-73.9792975
197708003,Yeshiva University,41.52092313690732,-74.04937634531838
197708005,Yeshiva University,46.3144754,11.0480288
197708006,Yeshiva University,40.8510538,-73.8502022
199847001,Wake Forest University,36.1299942,-80.2821731
199847002,Wake Forest University,36.10000965306122,-80.24024365306123
199847009,Wake Forest University,36.2050757,-81.6635371
199847010,Wake Forest University,36.0904426,-80.24516235825587
202480004,University of Dayton,39.7585757,-84.1918469
204024001,Miami University-Oxford,39.5102644,-84.7289741
204024002,Miami University-Oxford,46.3144754,11.0480288
204024003,Miami University-Oxford,39.3619111,-84.3636767
204024011,Miami University-Oxford,39.129379750000005,-84.50177109090909
207971002,University of Tulsa,36.17243718174464,-95.95655767372328
209542002,Oregon State University,44.622083450000005,-124.0444597494468
209551003,University of Oregon,45.5237312,-122.6706134
211440001,Carnegie Mellon University,40.444230899999994,-79.94337163609757
211440002,Carnegie Mellon University,46.3144754,11.0480288
211440003,Carnegie Mellon University,46.3144754,11.0480288
212054001,Drexel University,39.9537825,-75.1880913
212054003,Drexel University,39.9575823,-75.16379620015567
212054004,Drexel University,40.01946095,-75.17954686197186
212106003,Duquesne University,46.3144754,11.0480288
213543001,Lehigh University,40.60732570719929,-75.37856496733934
215062003,University of Pennsylvania,39.96942597959183,-75.18492659183673
215062007,University of Pennsylvania,39.9515478,-75.1800806
216339003,Temple University,40.005307900000005,-75.1508235158642
216339006,Temple University,39.954944,-75.152909
216339008,Temple University,39.9529802,-75.16615254999999
216339009,Temple University,46.3144754,11.0480288
216339010,Temple University,46.3144754,11.0480288
216366005,Thomas Jefferson University,40.02005735,-75.1928891076407
216366006,Thomas Jefferson University,40.137685,-74.985053
216366007,Thomas Jefferson University,39.8448586,-74.984658
216366010,Thomas Jefferson University,40.17132465730881,-75.13768703509895
217156001,Brown University,41.8267064,-71.4046916
217484001,University of Rhode Island,41.48310077401502,-71.52319161066855
217484002,University of Rhode Island,41.428201,-71.483328
217882014,Clemson University,34.814331100000004,-82.32704689163766
217882021,Clemson University,34.17465235,-82.1686859279954
221999001,Vanderbilt University,36.1493012,-86.80258940919262
223232003,Baylor University,40.75149255,-73.94008112476665
223232009,Baylor University,29.456915530612246,-98.48929508163265
225511002,University of Houston,29.5751596,-95.6506526
225511006,University of Houston,29.421068918367347,-98.47924781632653
225511008,University of Houston,29.79212615,-95.77152232552676
225511009,University of Houston,26.25373185,-98.20621188725785
227757002,Rice University,46.3144754,11.0480288
228246002,Southern Methodist University,36.3627641,-105.6040388
228875001,Texas Christian University,32.71159,-97.360535
230038003,Brigham Young University,38.90333125,-77.05413178036927
230038005,Brigham Young University,46.3144754,11.0480288
230038006,Brigham Young University,46.3144754,11.0480288
230764002,University of Utah,46.3144754,11.0480288
232186003,George Mason University,38.7565206,-77.5214867
232186004,George Mason University,39.0249425,-77.389666
232186006,George Mason University,46.3144754,11.0480288
232423001,James Madison University,38.4364404,-78.86896481344405
202480004,University of Dayton,39.7585757,-84.1918469
230038003,Brigham Young University,38.90333125,-77.05413178036927
232186004,George Mason University,39.0249425,-77.389666
236939005,Washington State University,48.010752,-122.1911417
110404001,California Institute of Technology,34.135903,-118.1242746
110653002,University of California-Irvine,33.7833375,-117.8887807
133951002,Florida International University,25.7896373,-80.1860845
134130013,University of Florida,26.6639754,-80.6891216
134130027,University of Florida,27.70501805,-82.40188627347399
139959001,University of Georgia,33.91279015,-83.36805895928337
145725003,Illinois Institute of Technology,41.8327887,-88.1018848
167358008,Northeastern University,37.7928108,-122.4047424
